what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313859641170
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313859667462
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1313859688607
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313859688732
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313859690746
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313859691334
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313859693217
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313859771528
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1313859778978
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313859779196
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313859780899
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313859856630
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1313859862272
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313859862518
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313859863753
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313860172547
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313860374192
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313860375651
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313860866509
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313860896579
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1313860899867
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313860900099
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313860902320
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1313860915488
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313860915713
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313860917287
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1313860932944
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313860933156
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1313860934398
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313860951399
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1313860951728
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1313860956101
